page,font_size,font_flags,page_height,page_width,block_index,total_blocks,relative_position,font_size_z_score,font_size_percentile,is_largest_font,is_common_font_size,font_size_deviation,is_first_page,is_last_page,page_position_normalized,prev_font_size_diff,prev_text_length,prev_page_diff,next_font_size_diff,next_text_length,next_page_diff,text_length_z_score,is_short_text,is_medium_text,is_long_text,title_score,h1_score,h2_score,h3_score,heading_likelihood,heuristic_confidence,block_width,block_height,aspect_ratio,sentence_count,avg_sentence_length,word_count,avg_word_length,unique_word_ratio,char_count,alpha_ratio,digit_ratio,punct_ratio,space_ratio,stopword_ratio,bigram_diversity,starts_with_number,ends_with_punct,has_colon,parentheses_count,quote_count,flesch_score,heading_rank,heading_percentile,label
1,17.982891082763672,4,792.0,612.0,0,17,0.0,2.1348817693383344,1.0,True,False,8.032495498657227,True,True,0.03122007485592,0.0,0,0,0.0,25,0,-0.5853398847973403,False,True,False,9,6,0.0,0.0,9.0,0.6,422.3040618896485,24.01199722290039,17.587211008291074,1,8.0,8,5.25,0.875,56,0.7142857142857143,0.0,0.0357142857142857,0.25,0.3,1.0,False,False,False,0,0,0.0,2,0.9411764705882352,Title
1,17.982891082763672,4,792.0,612.0,1,17,0.0588235294117647,2.1348817693383344,1.0,True,False,8.032495498657227,True,True,0.0803109901119964,0.0,56,0,0.0,20,0,-0.7516332105591723,False,True,False,10,7,1.0,0.0,10.0,0.5555555555555556,201.14495849609375,24.01199722290039,8.376852480403445,1,3.0,3,7.0,1.0,25,0.84,0.0,0.0,0.16,0.0,1.0,False,False,False,0,0,0.0,1,1.0,Paragraph
1,17.982891082763672,4,792.0,612.0,2,17,0.1176470588235294,2.1348817693383344,1.0,True,False,8.032495498657227,True,True,0.135007973873254,0.0,25,0,-8.032495498657227,93,0,-0.7784547147143065,False,True,False,9,6,0.0,0.0,9.0,0.6,173.19857788085938,24.017974853515625,7.211206562467837,1,4.0,4,4.25,1.0,20,0.8,0.0,0.05,0.15,0.6,1.0,False,True,False,0,0,23.00000000000003,3,0.8823529411764706,H1
1,9.950395584106444,4,792.0,612.0,3,17,0.1764705882352941,-0.3928018529399421,0.8235294117647058,False,True,0.0,True,True,0.1672126307631984,-8.032495498657227,20,0,0.0,21,0,-0.3868607540493473,False,True,False,7,3,0.0,0.0,7.0,0.7,410.16730880737305,13.286651611328123,30.870630223920877,1,14.0,14,5.714285714285714,1.0,93,0.8064516129032258,0.043010752688172,0.010752688172043,0.1397849462365591,0.1333333333333333,1.0,False,True,True,0,0,0.0,4,0.8235294117647058,Paragraph
1,9.950395584106444,4,792.0,612.0,4,17,0.2352941176470588,-0.3928018529399421,0.8235294117647058,False,True,0.0,True,True,0.1882770037410235,0.0,93,0,0.0,480,0,-0.7730904138832797,False,True,False,6,4,1.0,0.0,6.0,0.5454545454545454,96.08776092529295,13.286651611328123,7.231901891923552,1,3.0,3,6.333333333333333,1.0,21,0.9047619047619048,0.0,0.0,0.0952380952380952,0.0,1.0,False,False,False,0,0,0.0,5,0.7647058823529411,H2
1,9.950395584106444,4,792.0,612.0,5,17,0.2941176470588235,-0.3928018529399421,0.8235294117647058,False,True,0.0,True,True,0.20297807635683,0.0,21,0,0.0,189,0,1.689123667558039,False,False,True,5,3,0.0,0.0,5.0,0.625,511.9213943481446,71.50289916992188,7.159449480944786,6,13.833333333333334,83,4.530120481927711,0.6385542168674698,480,0.7020833333333333,0.0270833333333333,0.0145833333333333,0.2166666666666666,0.2871287128712871,0.79,False,False,False,6,0,1.1700702811245094,6,0.7058823529411765,Paragraph
1,9.950395584106444,4,792.0,612.0,6,17,0.3529411764705882,-0.3928018529399421,0.8235294117647058,False,True,0.0,True,True,0.2911844349870778,0.0,480,0,0.0,181,0,0.1281121257292291,False,True,False,3,2,0.0,0.0,3.0,0.6,330.1538391113281,36.214569091796875,9.11660272070206,3,9.666666666666666,29,4.586206896551724,0.9310344827586208,189,0.6507936507936508,0.0052910052910052,0.0158730158730158,0.2962962962962963,0.3055555555555556,0.9714285714285714,False,False,False,4,0,3.0267816091954103,11,0.4117647058823529,Paragraph
1,9.950395584106444,4,792.0,612.0,7,17,0.4117647058823529,-0.3928018529399421,0.8235294117647058,False,True,0.0,True,True,0.3404310977820194,0.0,189,0,0.0,138,0,0.0851977190810144,False,True,False,3,3,0.0,0.0,3.0,0.5,404.24261474609375,24.929901123046875,16.215171201476796,2,16.0,32,4.25,0.875,181,0.6906077348066298,0.0165745856353591,0.011049723756906,0.2486187845303867,0.2972972972972973,1.0,False,True,False,2,0,10.820000000000022,12,0.3529411764705882,Paragraph
1,9.950395584106444,4,792.0,612.0,8,17,0.4705882352941176,-0.3928018529399421,0.8235294117647058,False,True,0.0,True,True,0.3800078112669665,0.0,181,0,0.0,120,0,-0.1454672166531395,False,True,False,3,2,0.0,0.0,3.0,0.6,501.75192642211914,34.7127685546875,14.454390914733423,2,10.0,20,5.9,0.75,138,0.8260869565217391,0.0,0.0072463768115942,0.144927536231884,0.2857142857142857,0.9,False,False,False,0,0,0.0,13,0.2941176470588235,Paragraph
1,9.950395584106444,4,792.0,612.0,9,17,0.5294117647058824,-0.3928018529399421,0.8235294117647058,False,True,0.0,True,True,0.4240987373120857,0.0,138,0,0.0,773,0,-0.2420246316116227,False,True,False,3,2,0.0,0.0,3.0,0.6,354.3940124511719,44.436004638671875,7.97537976991633,2,9.0,18,5.611111111111111,0.9444444444444444,120,0.7916666666666666,0.0333333333333333,0.0166666666666666,0.1583333333333333,0.25,1.0,False,False,True,0,0,0.0,14,0.2352941176470588,Paragraph
